bigJobImg,holland1,holland2,holland3,jobCat,jobDesc,jobName,jobWorks,subject1,subject2
https://static.104.com.tw/gtnew/img/character/bigRole/2002001003.png,C,E,R,2002001003,于公民营事业机构中，依照各企业的办公流程，从事一般行政职务。,行政人员,"负责一般文书资料处理工作。
维护、更新、管理各类文件档案（如：合约、会议记录、书目资料、活动文件）和数据库系统。
完成工作时程表，管理行事历，并负责会议协调与安排。
准备会议议程，参与会议并撰写会议记录。
负责费用预估、控管及报表制作。
负责收发公文并处理会签文件。
判断、分类并分送邮件，回复邮件，并整理待寄送的邮件。
负责简单零用金管理，并负责前往银行进行提存交易。
负责文具用品之预估及请领。
协助办理员工福利事项。",chinese,english
https://static.104.com.tw/gtnew/img/character/bigRole/2002001004.png,C,E,R,2002001004,支援公司其他部门需求及提供相关业务之服务，并管理及维护公司资源作业，以使同仁有满意之行政服务。,总务人员,"清洁维护办公室、宿舍及会议室等，以使同仁有舒适的办公环境。
采购及维护事务机器及家电用品，以有效管理各部门之采购需求。
落实公务器材及公务车之使用管理规则，以满足同仁使用之需要。
采购并维护办公事物及庶物用品，以有效管理各部门之采购需求。
采购并维护印刷用品及书报杂志，以有效管理各部门之采购需求。
执行办公室之租赁与买卖事务之办理，以提供符合各部门在使用空间上的需求。",housekeeping,scout
https://static.104.com.tw/gtnew/img/character/bigRole/2002001012.png,C,S,E,2002001012,于公民营事业机构，协助各部门主管或专业人员处理一般行政业务。,行政助理,"负责一般文书资料处理及归档工作。
办理核销事宜。
协助处理庶务性行政工作（如：事务机器叫修维护、文具用品采买）。
收发公文并处理会签文件。
负责简单零用金管理。
协助会议安排。
负责外出送件、物件寄送及简易银行业务处理。
负责接待访客、准备会议室及茶水。
协助订购餐点。
负责办公室环境与设备之清洁与维护。
支援其他部门业务（如：采购、业务、人事）。",chinese,english
https://static.104.com.tw/gtnew/img/character/bigRole/2004002005.png,A,E,I,2004002005,研究、设计、开发到维护，从头发想好玩的游戏！,游戏企划人员,"撰写游戏内容(游戏剧情、任务事件、人物技能)。
企划案撰写与执行。
产品开发的环节协调与细节掌握。
市场与产品趋势调查。
网站制作维护。",scout,information
https://static.104.com.tw/gtnew/img/character/bigRole/2004003002.png,E,I,R,2004003002,从事营运管理的规划、管理系统的整合及ERP企业资源的规划等专案之设计、协调、导入等工作，以确保营管系统顺畅地运行。,营运管理师／系统整合／ERP专案师,"负责新事业发展之系统规划。
进行设备投资分析、资源分析，以及资源整合规划。
负责部门协调、流程再造、流程管控以及内部稽核。
负责业绩统计与分析。
负责品质及流程改善计划。
拟定客户端正确的系统操作规范。
提供使用者专案所需的支援作业。
负责机房管理、流量控管、网络架设与设定。
管理公司顾客名单。",scout,math
https://static.104.com.tw/gtnew/img/character/bigRole/2005003008.png,E,S,R,2005003008,我会把药卖出去，推广客户需要的医疗产品！,医药业务代表,"拜访固定或非固定地区医院、诊所、药局客户，以开发或维护客户关系。
销售及推广公司产品，例如医疗研究用仪器或医药耗材等。
教育及示范产品使用方式。
协助客户使用产品。
提供新客户相关之行销或经营辅导。
宣导与执行公司的理念予店家。",social,biology
https://static.104.com.tw/gtnew/img/character/bigRole/2005003010.png,E,S,R,2005003010,熟悉车子性能，给予顾客最佳购车服务！,汽车销售人员,"销售各车型。
处理车辆贷款相关事项。
处理租赁相关事项。
处理保险相关事项。
处理验车相关事项。
提供售后服务。
参与行销活动。
寄发型录、邀请函给客户。",social,scout
https://static.104.com.tw/gtnew/img/character/bigRole/2006001007.png,R,S,A,2006001007,每一杯客人的调酒，都是我的精心杰作。,调酒师／吧台人员,"进行花式调酒及其他饮料之调制。
负责料理薯条、花式拼盘或焗烤等简易餐点或轻食。
负责结账与收银，并整理现金收据。
负责清洗酒杯、餐具、吧台设备以及周遭工作环境。
定期盘点剩下的饮料与食材。
维护店内的秩序，避免客人喝酒闹事。
负责查验酒类消费者的年龄是否符合法令规定。",housekeeping,art
https://static.104.com.tw/gtnew/img/character/bigRole/2006002006.png,S,C,E,2006002006,带领旅客出国，并注意旅游中的各种细节！,领队,"协助旅客办理各项登机作业。
协助旅客在飞机上的座位安排及必要时的协调工作。
协助旅客在飞机上之服务作业。
协助旅客到达目的国之出关作业。
协调安排各项旅途中所需之交通安排等事宜。
安排旅客在出国旅游途中之膳宿。
安排当地导游提供名胜处所，并作旅程景点的各项介绍说明。
规划或协助旅客安排额外观光活动。
规划或协助旅客安排个人观光活动。
处理运送、通讯及翻译等事务。",scout,social
https://static.104.com.tw/gtnew/img/character/bigRole/2006002007.png,S,C,E,2006002007,接待旅客观光旅游，介绍各景点的服务！,导游,"代表所在处所欢迎参观者。
引导或介绍参观者各种风光、名胜、古迹，并予以说明其典故、由来或历史渊源。
安排游程及导游翻译说明。
保障参观者安全与必要之服务。
安排入场卷。",scout,social
https://static.104.com.tw/gtnew/img/character/bigRole/2006002008.png,E,C,S,2006002008,无论行程安排或订票，旅游规划找我就对了！,OP／旅行社人员,"收集及咨询客户有关行程、交通工具、旅馆住宿及花费成本等资料，安排旅游、预订旅馆并接受付款。
必要时亦协助推销或筹组旅行团，包括团体或个人。
协助顾客取得必要证件及旅游文件。
安排个人旅游或旅行团所需之领队或导游人选",social,chinese
https://static.104.com.tw/gtnew/img/character/bigRole/2006003006.png,A,R,C,2006003006,在宠物专卖店、宠物医院或其他营业场所，提供宠物美容的工作。,宠物美容专业人员,"清洁与修整宠物的身体。
根据宠物主人的需要，维持宠物的现状或提供新的造形。
提供宠物寄放的服务。",housekeeping,biology
https://static.104.com.tw/gtnew/img/character/bigRole/2007001003.png,I,R,C,2007001003,发展、创造及修改一般电脑应用软件或专业化实用程式。分析客户需求与开发软件解决方案，并为客户设计或订制运作效能最佳的软件。,通讯软件工程师,"与系统分析师、工程师、程序员等商讨，设计系统，并获得关于专案的限制、容量、性能需求和界面等的讯息。
修正现有软件的错误，使其适应新硬件或改进其性能。
分析客户需要和软件需求，考量时间及成本的限制条件，以评估计划的可行性。
与客户商讨软件系统的设计和维修。
确保软件系统的安装能与监视器功能配合，以符合设计规格。
设计、开发及修改软件系统，并使用科学分析和数学模型来预测及测量设计的成果。
负责软件系统之开发与程式设计，并进行系统测试。
研发有线或无线网络通讯产品的软件或固件。
设计高频通讯，并进行测试验证。
开发通讯协定软件。
分析资讯以确认电脑的规格、配置和周边设备，并提出适当的调整建议。",information,math
https://static.104.com.tw/gtnew/img/character/bigRole/2007001004.png,I,R,C,2007001004,写程式开发软件应用程序，并且维护正常运作。,软件设计工程师,"负责软件之分析、设计以及程式撰写。
规划执行软件架构及模组之设计，并控管软件设计进度。
进行软件之测试与修改。
规划、执行与维护量产的产品。
协助研发软件新技术与新工具。
管控软件开发成本。",information,math
https://static.104.com.tw/gtnew/img/character/bigRole/2007001005.png,I,R,C,2007001005,规划及执行产品控制单元之设计、产品固件之撰写与量产产品固件之维护，并进行产品固件之测试，控管固件设计之进度、品质与成本。,固件设计工程师,"规划及执行产品控制单元设计。
规划执行产品固件之撰写，并维护量产产品。
执行、协助或配合固件新技术之研发、导入。
执行产品固件测试。
控制固件开发进度、品质与成本。",information,math
https://static.104.com.tw/gtnew/img/character/bigRole/2007001006.png,I,R,C,2007001006,运用对网络系统的专业，打造稳定安全的网站。,Internet程序员,"模拟、修正现有网络系统程式。
设计、开发新的网络程式及界面。
负责整体网络架构之维护管理与监控、流量控制、安全规划及问题协调追踪与排除。
进行网络程式的需求分析。
开发以网络为基础的应用程序（Web-based application）。",information,math
https://static.104.com.tw/gtnew/img/character/bigRole/2007001007.png,I,R,C,2007001007,分析和拆解软件架构，程式开发团队的总指挥！,系统分析师,"负责电脑资讯之传输，以及电脑软件、数据库、资料结构之维修与研发。
设计、撰写、维修及更新软件，以控制硬件与电脑应用软件之连接。
维护数据库管理系统，确保资料的安全性。
分析电脑使用者需要，以发展硬件和软件架构。
了解各使用需求单位对资讯服务的需求，并建议最佳作业方式。
规划并撰写系统需求、规格书及计划书。
协助导入资讯系统（如：ERP、财会系统），并提供内部员工系统操作的教育训练。
编写硬件及软件结构操作与维修方法之说明手册。
测试应用系统与电子平台上的连结。
扩增或修改既有的电子系统，以利工程运作。",information,math
